run_id,is_healthy_run,n_predictions,rul_mae_s,true_failure_time_s
RUL_BEARING_EXP_U02,False,153,72.69,162.99
RUL_BEARING_LIN_U02,False,123,17.01,132.99
RUL_COOLING_EXP_U02,False,153,144.54,162.99
RUL_COOLING_LIN_U02,False,123,23.98,132.99
RUL_CYL1_EXP_U02,False,153,52.88,162.99
RUL_CYL1_LIN_U02,False,123,19.48,132.99
RUL_CYL3_EXP_U02,False,153,69.07,162.99
RUL_CYL3_LIN_U02,False,123,20.38,132.99
RUL_HEALTHY_U02,True,171,,
RUL_LUBRICATION_EXP_U02,False,153,60.03,162.99
RUL_LUBRICATION_LIN_U02,False,123,16.1,132.99
