run_id,t_now_s,health_true,health_est,rul_est_s,rul_lo_s,rul_hi_s,rul_true_s,conf,decaying
RUL_BEARING_EXP_U02,9.99,0.991,0.9378,57.99966702779245,0.0,787.3828990934844,153.0,0.78,True
RUL_BEARING_EXP_U02,10.99,0.99,0.9326,66.62182653697172,0.0,701.9764962790119,152.0,0.783,True
RUL_BEARING_EXP_U02,11.99,0.989,0.9922,,,,151.0,0.09,False
RUL_BEARING_EXP_U02,12.99,0.988,0.9894,,,,150.0,0.0,False
RUL_BEARING_EXP_U02,13.99,0.9869,0.989,,,,149.0,0.026,False
RUL_BEARING_EXP_U02,14.99,0.9859,0.9611,,,,148.0,0.014,False
RUL_BEARING_EXP_U02,15.99,0.9848,0.9245,,,,147.0,0.014,False
RUL_BEARING_EXP_U02,16.99,0.9837,0.9145,,,,146.0,0.093,False
RUL_BEARING_EXP_U02,17.99,0.9826,0.935,,,,145.0,0.131,False
RUL_BEARING_EXP_U02,18.99,0.9815,0.9425,,,,144.0,0.144,False
RUL_BEARING_EXP_U02,19.99,0.9803,0.9529,,,,143.0,0.124,False
RUL_BEARING_EXP_U02,20.99,0.9792,0.9519,,,,142.0,0.111,False
RUL_BEARING_EXP_U02,21.99,0.978,0.9518,,,,141.0,0.1,False
RUL_BEARING_EXP_U02,22.99,0.9768,0.9527,,,,140.0,0.089,False
RUL_BEARING_EXP_U02,23.99,0.9755,0.9536,,,,139.0,0.077,False
RUL_BEARING_EXP_U02,24.99,0.9743,0.9534,,,,138.0,0.069,False
RUL_BEARING_EXP_U02,25.99,0.973,0.9505,,,,137.0,0.066,False
RUL_BEARING_EXP_U02,26.99,0.9717,0.95,,,,136.0,0.065,False
RUL_BEARING_EXP_U02,27.99,0.9704,0.9462,,,,135.0,0.07,False
RUL_BEARING_EXP_U02,28.99,0.9691,0.9489,,,,134.0,0.069,False
RUL_BEARING_EXP_U02,29.99,0.9677,0.9452,,,,133.0,0.075,False
RUL_BEARING_EXP_U02,30.99,0.9663,0.9443,,,,132.0,0.082,False
RUL_BEARING_EXP_U02,31.99,0.9649,0.9445,,,,131.0,0.087,False
RUL_BEARING_EXP_U02,32.99,0.9635,0.9445,,,,130.0,0.092,False
RUL_BEARING_EXP_U02,33.99,0.9621,0.9447,,,,129.0,0.096,False
RUL_BEARING_EXP_U02,34.99,0.9606,0.9449,,,,128.0,0.041,False
RUL_BEARING_EXP_U02,35.99,0.9591,0.9438,,,,127.0,0.026,False
RUL_BEARING_EXP_U02,36.99,0.9576,0.9434,,,,126.0,0.034,False
RUL_BEARING_EXP_U02,37.99,0.956,0.9425,,,,125.0,0.052,False
RUL_BEARING_EXP_U02,38.99,0.9544,0.9438,,,,124.0,0.069,False
RUL_BEARING_EXP_U02,39.99,0.9528,0.944,,,,123.0,0.104,False
RUL_BEARING_EXP_U02,40.99,0.9512,0.9444,,,,122.0,0.166,False
RUL_BEARING_EXP_U02,41.99,0.9496,0.9433,,,,121.0,0.096,False
RUL_BEARING_EXP_U02,42.99,0.9479,0.9433,,,,120.0,0.033,False
RUL_BEARING_EXP_U02,43.99,0.9462,0.9377,,,,119.0,0.0,False
RUL_BEARING_EXP_U02,44.99,0.9444,0.9387,,,,118.0,0.005,False
RUL_BEARING_EXP_U02,45.99,0.9426,0.9387,,,,117.0,0.015,False
RUL_BEARING_EXP_U02,46.99,0.9408,0.9385,,,,116.0,0.375,False
RUL_BEARING_EXP_U02,47.99,0.939,0.9346,212.45202634346595,212.45202634346595,188429.10398211665,115.0,0.73,True
RUL_BEARING_EXP_U02,48.99,0.9372,0.9333,1079.2426043254345,0.0,155322.57734267655,114.0,0.886,True
RUL_BEARING_EXP_U02,49.99,0.9353,0.934,1050.467921710183,0.0,129458.33433862588,113.0,0.889,True
RUL_BEARING_EXP_U02,50.99,0.9333,0.9197,156.7193037049993,156.7193037049993,12981.417632020246,112.0,0.789,True
RUL_BEARING_EXP_U02,51.99,0.9314,0.8394,,,,111.0,0.335,False
RUL_BEARING_EXP_U02,52.99,0.9294,0.8364,,,,110.0,0.372,False
