Run_ID,Time_s,Throttle_Cmd,Ambient_C,RPM,CHT_C,EGT_C,Oil_Press_bar,Oil_Temp_C,Fuel_Flow_Lph,Vibration_g,Alternator_V,Fault_ID,Fault_Label
manual_Misfire_0,0.0,0.1217,15.0,2044.4792,70.0235,305.3376,4.5778,59.5097,7.7186,0.0248,13.8659,0,Healthy
manual_Misfire_0,0.1,0.122,14.99,2028.6935,69.1941,300.3548,4.6051,61.1223,8.5947,0.0247,13.7448,0,Healthy
manual_Misfire_0,0.2,0.1222,15.0,2083.3403,69.1857,307.5098,4.5684,61.1176,8.6131,0.014,13.7589,0,Healthy
manual_Misfire_0,0.3,0.1225,15.0,2103.7457,71.2333,307.4827,4.7283,60.5553,8.7247,0.0284,13.8812,0,Healthy
manual_Misfire_0,0.4,0.1227,15.0,2149.6918,69.9425,308.7616,4.7345,58.7597,8.8186,0.0442,13.7514,0,Healthy
manual_Misfire_0,0.5,0.1229,15.0,2164.0093,68.5422,308.7915,4.7879,59.532,9.0888,0.0206,13.8211,0,Healthy
manual_Misfire_0,0.6,0.1232,15.0,2172.9987,72.414,311.7354,4.838,59.6712,8.892,0.0338,13.7096,0,Healthy
manual_Misfire_0,0.7,0.1234,14.98,2204.567,70.9926,311.876,4.842,60.2163,9.4763,0.015,13.7097,0,Healthy
manual_Misfire_0,0.8,0.1237,14.93,2205.9186,68.7551,313.0665,4.7465,60.6198,9.6671,0.0242,13.707,0,Healthy
manual_Misfire_0,0.9,0.1239,14.89,2233.5076,70.864,317.1803,4.8444,60.1132,8.9745,0.0239,13.6719,0,Healthy
manual_Misfire_0,1.0,0.1241,14.96,2242.9631,68.1654,318.4272,4.8528,61.4269,9.4861,0.0148,13.7472,0,Healthy
manual_Misfire_0,1.1,0.1244,14.86,2278.934,71.2485,321.3376,4.9449,60.8245,9.4626,0.0111,13.6755,0,Healthy
manual_Misfire_0,1.2,0.1246,14.98,2275.4097,70.3884,323.8651,4.9685,59.5418,9.5713,0.0175,13.6618,0,Healthy
